model,split,version,true_score,rows,exact_fraction,under_fraction,over_fraction,mean_predicted_score,mean_raw_prediction
small1024_frozen_mean,train,B1,6,95,0.9052631578947369,0.09473684210526316,0.0,5.905263157894737,5.6713815789473685
small1024_frozen_attention,selection,B0,1,112,0.5267857142857143,0.0,0.4732142857142857,1.5267857142857142,1.5481654575892858
small1024_frozen_attention,selection,B0,2,425,0.7035294117647058,0.058823529411764705,0.2376470588235294,2.192941176470588,2.203887867647059
small1024_frozen_attention,selection,B0,3,563,0.6838365896980462,0.16163410301953818,0.15452930728241562,2.991119005328597,2.9992229129662524
small1024_frozen_attention,selection,B0,4,356,0.6235955056179775,0.2612359550561798,0.1151685393258427,3.845505617977528,3.827115519662921
small1024_frozen_attention,selection,B0,5,88,0.5340909090909091,0.42045454545454547,0.045454545454545456,4.6022727272727275,4.593394886363637
small1024_frozen_attention,selection,B0,6,13,0.46153846153846156,0.5384615384615384,0.0,5.461538461538462,5.389423076923077
small1024_frozen_attention,selection,B1,1,112,0.6964285714285714,0.0,0.30357142857142855,1.3571428571428572,1.5481654575892858
small1024_frozen_attention,selection,B1,2,425,0.6047058823529412,0.15764705882352942,0.2376470588235294,2.0894117647058823,2.203887867647059
small1024_frozen_attention,selection,B1,3,563,0.69449378330373,0.16163410301953818,0.1438721136767318,2.9822380106571935,2.9992229129662524
small1024_frozen_attention,selection,B1,4,356,0.5842696629213483,0.2893258426966292,0.12640449438202248,3.831460674157303,3.827115519662921
small1024_frozen_attention,selection,B1,5,88,0.4772727272727273,0.38636363636363635,0.13636363636363635,4.7272727272727275,4.593394886363637
small1024_frozen_attention,selection,B1,6,13,0.6923076923076923,0.3076923076923077,0.0,5.6923076923076925,5.389423076923077
small1024_frozen_attention,train,B0,1,788,0.7969543147208121,0.0,0.20304568527918782,1.2055837563451777,1.2489738658121827
small1024_frozen_attention,train,B0,2,2974,0.8759246805648958,0.015131136516476126,0.1089441829186281,2.09448554135844,2.1203056699731
small1024_frozen_attention,train,B0,3,3940,0.8604060913705583,0.06345177664974619,0.07614213197969544,3.013197969543147,3.0090835184010154
small1024_frozen_attention,train,B0,4,2495,0.8549098196392786,0.10861723446893788,0.03647294589178357,3.927454909819639,3.89435746492986
small1024_frozen_attention,train,B0,5,613,0.7911908646003263,0.19902120717781402,0.009787928221859706,4.810766721044046,4.767460236541599
small1024_frozen_attention,train,B0,6,95,0.6736842105263158,0.3263157894736842,0.0,5.673684210526316,5.65328947368421
small1024_frozen_attention,train,B1,1,788,0.9454314720812182,0.0,0.05456852791878172,1.0571065989847717,1.2489738658121827
small1024_frozen_attention,train,B1,2,2974,0.7911903160726295,0.09986550100874243,0.1089441829186281,2.0097511768661733,2.1203056699731
small1024_frozen_attention,train,B1,3,3940,0.8708121827411167,0.06345177664974619,0.06573604060913706,3.002030456852792,3.0090835184010154
small1024_frozen_attention,train,B1,4,2495,0.8272545090180361,0.12945891783567134,0.043286573146292584,3.9142284569138277,3.89435746492986
small1024_frozen_attention,train,B1,5,613,0.7389885807504079,0.17944535073409462,0.08156606851549755,4.902120717781403,4.767460236541599
small1024_frozen_attention,train,B1,6,95,0.8947368421052632,0.10526315789473684,0.0,5.894736842105263,5.65328947368421
small1024_regression_control,selection,B0,1,112,0.5,0.0,0.5,1.5625,1.5825892857142858
small1024_regression_control,selection,B0,2,425,0.7152941176470589,0.0611764705882353,0.2235294117647059,2.1741176470588237,2.1787408088235294
small1024_regression_control,selection,B0,3,563,0.6731793960923623,0.16518650088809947,0.16163410301953818,2.9982238010657194,2.98638710035524
small1024_regression_control,selection,B0,4,356,0.6235955056179775,0.26685393258426965,0.10955056179775281,3.837078651685393,3.8419066011235956
small1024_regression_control,selection,B0,5,88,0.5909090909090909,0.3522727272727273,0.056818181818181816,4.693181818181818,4.709161931818182
small1024_regression_control,selection,B0,6,13,0.5384615384615384,0.46153846153846156,0.0,5.538461538461538,5.521634615384615
small1024_regression_control,selection,B1,1,112,0.6517857142857143,0.0,0.3482142857142857,1.3928571428571428,1.5825892857142858
small1024_regression_control,selection,B1,2,425,0.7035294117647058,0.12941176470588237,0.16705882352941176,2.0447058823529414,2.1787408088235294
small1024_regression_control,selection,B1,3,563,0.655417406749556,0.24511545293072823,0.0994671403197158,2.8525754884547068,2.98638710035524
small1024_regression_control,selection,B1,4,356,0.5252808988764045,0.3595505617977528,0.1151685393258427,3.741573033707865,3.8419066011235956
small1024_regression_control,selection,B1,5,88,0.625,0.3181818181818182,0.056818181818181816,4.7272727272727275,4.709161931818182
small1024_regression_control,selection,B1,6,13,0.5384615384615384,0.46153846153846156,0.0,5.538461538461538,5.521634615384615
small1024_regression_control,train,B0,1,788,0.6903553299492385,0.0,0.3096446700507614,1.3172588832487309,1.3521548818147209
small1024_regression_control,train,B0,2,2974,0.8332212508406187,0.026899798251513115,0.1398789509078682,2.1156691324815062,2.120419941577001
small1024_regression_control,train,B0,3,3940,0.7969543147208121,0.09695431472081219,0.10609137055837563,3.011421319796954,2.9968789657360406
small1024_regression_control,train,B0,4,2495,0.7723446893787576,0.15831663326653306,0.06933867735470942,3.9114228456913827,3.885852955911824
small1024_regression_control,train,B0,5,613,0.7373572593800979,0.21207177814029363,0.05057096247960848,4.8368678629690045,4.791445758564437
small1024_regression_control,train,B0,6,95,0.7157894736842105,0.28421052631578947,0.0,5.71578947368421,5.695065789473684
small1024_regression_control,train,B1,1,788,0.8553299492385786,0.0,0.1446700507614213,1.148477157360406,1.3521548818147209
small1024_regression_control,train,B1,2,2974,0.8130464021519839,0.10356422326832548,0.08338937457969066,1.9818426361802286,2.120419941577001
small1024_regression_control,train,B1,3,3940,0.7634517766497462,0.17258883248730963,0.06395939086294417,2.8928934010152285,2.9968789657360406
small1024_regression_control,train,B1,4,2495,0.6605210420841683,0.262124248496994,0.07735470941883768,3.8148296593186375,3.885852955911824
small1024_regression_control,train,B1,5,613,0.763458401305057,0.1859706362153344,0.05057096247960848,4.861337683523654,4.791445758564437
small1024_regression_control,train,B1,6,95,0.7157894736842105,0.28421052631578947,0.0,5.71578947368421,5.695065789473684
small1024_dual01,selection,B0,1,112,0.5892857142857143,0.0,0.4107142857142857,1.4642857142857142,1.4752022879464286
